Age;Sexe;Nationalité(s);Quartier
40;M;D;WEIMERSKIRCH
46;F;L;CENTS
45;M;L;KIRCHBERG
55;F;R;BELAIR
48;M;L, GR;BEGGEN
63;F;L;BELAIR
32;M;L;GASPERICH
42;F;CV;GASPERICH
11;F;L, B;GASPERICH
68;M;F;HOLLERICH
33;F;D;BELAIR
28;M;IRL;LIMPERTSBERG
56;M;D;BONNEVOIE-SUD
36;M;R;HOLLERICH
16;F;L;CENTS
91;F;L;CESSANGE
20;M;L, F;BONNEVOIE-SUD
86;M;L;BELAIR
70;F;P;HOLLERICH
41;M;L;LIMPERTSBERG
13;M;L;BELAIR
27;F;L;BEGGEN
20;F;L, GR, B;NEUDORF/WEIMERSHOF
68;M;L;CENTS
17;F;L;GASPERICH
12;M;P;WEIMERSKIRCH
37;F;L;MERL
9;M;L;CENTS
9;M;L;BELAIR
8;F;L;CESSANGE
13;F;L, F;BELAIR
34;M;B;BEGGEN
92;M;L;LIMPERTSBERG
73;F;P;BONNEVOIE-NORD/VERLORENKOST
39;F;L, B, IRL;KIRCHBERG
39;F;L;MERL
51;M;D;GARE
14;F;BG;LIMPERTSBERG
27;M;L;CENTS
51;F;R;LIMPERTSBERG
52;M;D;CESSANGE
17;M;L, GB, SY;MERL
38;F;MEX;CENTS
37;M;P;MERL
6;F;H;LIMPERTSBERG
5;F;L;BONNEVOIE-SUD
24;M;L;BONNEVOIE-SUD
26;F;L, P;GARE
28;M;L, GR;BONNEVOIE-SUD
37;M;F;LIMPERTSBERG
28;M;L;BONNEVOIE-SUD
63;M;I;KIRCHBERG
36;M;F;BONNEVOIE-SUD
66;F;P;NEUDORF/WEIMERSHOF
39;M;FIN;NEUDORF/WEIMERSHOF
15;M;L;VILLE-HAUTE
28;F;F;MERL
42;F;H;BEGGEN
36;M;L, F;NEUDORF/WEIMERSHOF
83;F;I;PFAFFENTHAL
30;M;D;MERL
29;M;L;BELAIR
56;M;USA;KIRCHBERG
5;F;F;CENTS
45;M;I;LIMPERTSBERG
52;M;P;BONNEVOIE-SUD
28;F;F;EICH
10;M;B;HAMM
48;F;SRB;CENTS
40;F;I;GASPERICH
35;M;F;BONNEVOIE-SUD
44;M;P;BONNEVOIE-SUD
75;M;L;MERL
35;F;P;VILLE-HAUTE
19;M;L, I;BONNEVOIE-NORD/VERLORENKOST
32;F;B;EICH
10;F;B;BELAIR
46;M;P;KIRCHBERG
62;F;L;HAMM
7;F;BG;MERL
32;M;IND;LIMPERTSBERG
47;M;L;BELAIR
35;F;F, MOL;MERL
45;M;D;LIMPERTSBERG
43;F;VN;EICH
68;M;D;HOLLERICH
34;M;J;ROLLINGERGRUND/BELAIR-NORD
39;M;F;BONNEVOIE-SUD
87;F;I;BONNEVOIE-SUD
17;F;F, ZA;BONNEVOIE-SUD
46;F;D;HOLLERICH
59;F;F;GASPERICH
75;F;F;GARE
38;M;F;GARE
63;F;E;KIRCHBERG
